album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
Doozicabraba e a Revolução Silenciosa,album,4d23omGuGadPOnTk8Hay2B,7,Pequenas Empresas,24,240013,2011-12-20,"['Emicida', 'Don Pixote', 'MV Bill']"
Doozicabraba e a Revolução Silenciosa,album,7peVT3FS4rLm0LAFmu6sig,8,1989,23,176146,2011-12-20,['Emicida']
Doozicabraba e a Revolução Silenciosa,album,3k5AG1YfQBJxOMEOYdXa6g,9,Canção para Meus Amigos Mortos,22,189733,2011-12-20,"['Emicida', 'Srta. Paola']"
Doozicabraba e a Revolução Silenciosa,album,1qhAtTklCGQEgnU2ivchW4,10,Sorrisos e Lágrimas,34,174040,2011-12-20,"['Emicida', 'Rael']"
Emicidio,album,3dHGvbOKarhoCCnO0agLOU,1,E Agora?,28,200066,2010-09-15,"['Emicida', 'Kaion']"
Emicidio,album,6Lbp3RoCLwdETIRL4LCwDA,2,Cê Lá Faz Idéia?,37,138466,2010-09-15,['Emicida']
Emicidio,album,11EwENgj6ssityd6UW6ZN3,3,Rinha (Já Ouviu Falar?),29,127000,2010-09-15,['Emicida']
Emicidio,album,1VwvVtK7KGK8f9tC65FOIh,4,Isso Não Pode Se Perder,28,230413,2010-09-15,"['Emicida', 'Xênia França']"
Emicidio,album,4voIFUvBEUtBMVBfxyBWJN,5,Santo Amaro da Purificação,27,165146,2010-09-15,"['Emicida', 'Curumim']"
Emicidio,album,4g5TnkdXNC2blq6pBS22Ig,6,Então Toma,34,166586,2010-09-15,['Emicida']
Emicidio,album,7ud6onCRZu5rUb0MUZoFhX,7,Emicidio,29,204506,2010-09-15,['Emicida']
Emicidio,album,66nm77ff6ft4sZ7bG5RtDc,8,Santa Cruz,26,223026,2010-09-15,['Emicida']
Emicidio,album,0TAjOgOFn8acTTjswI27WI,9,Velhos Amigos,29,223186,2010-09-15,['Emicida']
Emicidio,album,4vHOJK3A4vxlMjVEBdL8Xs,10,Rua Augusta,40,153053,2010-09-15,['Emicida']
Emicidio,album,7hOPOvcVUjUtFYbHWuoZoh,11,I Love Quebrada,31,216600,2010-09-15,['Emicida']
Emicidio,album,5yqbISO0lUFwY3wdrLgiR0,12,Eu Gosto Dela,50,197746,2010-09-15,"['Emicida', 'Cohen']"
Emicidio,album,67pNalHivsFuW2Kcd2vS7A,13,Só Mais uma Noite,30,189520,2010-09-15,"['Emicida', 'Fióti']"
Emicidio,album,6WEnwoDXLxbPKqSzNGpfEI,14,De Onde Cê Vem?!,26,262333,2010-09-15,"['Emicida', 'Kamau']"
Emicidio,album,1oO9SDF8DP30r0opnyesYW,15,Um Final de Semana,25,172733,2010-09-15,"['Emicida', 'Fióti']"
Emicidio,album,6c6whZDeo8lbZrXahHjkVO,16,Novo Nego Véio,23,161600,2010-09-15,['Emicida']
Emicidio,album,2LAhOdcfPJUgWqwm6zmLG6,17,Avua Besouro,25,229613,2010-09-15,['Emicida']
Emicidio,album,25XUxLporfgzl2rf2mtgmj,18,Beira de Piscina,42,228786,2010-09-15,"['Emicida', 'Rael', 'Xênia França']"
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,2QlM7fOgPNyVKH7YA6UYJV,1,Intro (É Necessário Voltar ao Começo),29,337773,2009-05-01,['Emicida']
